pc,tool_1,version_1,contract,type,property
876.0,securify,0,0x6aC85d0408044AfB786a6d631d4D3426Ce0E031a,Safety,TimestampDepend
2412.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
2821.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
2910.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
5954.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
6342.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
6504.0,securify,0,0x97afa00f26e66bf96a7338e67ee945d1f3080b78,Safety,TimestampDepend
345.0,securify,0,0xabea74917283a8662865894c7d6cfecafd85ceb6,Safety,TimestampDepend
397.0,securify,0,0xabea74917283a8662865894c7d6cfecafd85ceb6,Safety,TimestampDepend
447.0,securify,0,0xabea74917283a8662865894c7d6cfecafd85ceb6,Safety,TimestampDepend
494.0,securify,0,0xabea74917283a8662865894c7d6cfecafd85ceb6,Safety,TimestampDepend
1117.0,securify,0,0x93c9cce56a35a5bba00501a8dcd6ea1392ff3dfd,Safety,TimestampDepend
369.0,securify,0,0x93c9cce56a35a5bba00501a8dcd6ea1392ff3dfd,Violation,RestrictedWrite
715.0,securify,0,0x85c84c949b1c29c85b777f2873a19450dbb1a057,Violation,RestrictedWrite
854.0,securify,0,0x85c84c949b1c29c85b777f2873a19450dbb1a057,Violation,RestrictedWrite
864.0,securify,0,0x85c84c949b1c29c85b777f2873a19450dbb1a057,Violation,RestrictedWrite
755.0,securify,0,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,Violation,RestrictedWrite
772.0,securify,0,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,Violation,RestrictedWrite
780.0,securify,0,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,Violation,RestrictedWrite
797.0,securify,0,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,Violation,RestrictedWrite
2834.0,securify,0,0x98f9e314a874e17c77e7ec24f228649f21a52368,Safety,TimestampDepend
852.0,securify,0,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,Violation,RestrictedWrite
859.0,securify,0,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,Violation,RestrictedWrite
867.0,securify,0,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,Violation,RestrictedWrite
1116.0,securify,0,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,Violation,RestrictedWrite
1165.0,securify,0,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,Violation,RestrictedWrite
172.0,securify,0,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,Safety,TimestampDepend
343.0,securify,0,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,Safety,TimestampDepend
390.0,securify,0,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,Safety,TimestampDepend
661.0,securify,0,0x2a53F42aD8BbA138C21b50a4e5711f18381A61E9,Violation,RestrictedWrite
670.0,securify,0,0x2a53F42aD8BbA138C21b50a4e5711f18381A61E9,Violation,RestrictedWrite
