tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0xe3282094d332d26f7Dfca853899eC1736f0295ce,TimestampDepend,Safety,"[270.0, 440.0]",2.0,horstify,[270.0],0.0
securify,0xe3282094d332d26f7Dfca853899eC1736f0295ce,RestrictedWrite,Violation,"[353.0, 504.0]",2.0,horstify,[353.0],1.0
securify,0x4398a4a10347d8f18029c07853a7a689eebbb925,RestrictedWrite,Violation,"[624.0, 688.0, 699.0, 782.0, 819.0, 823.0, 842.0, 878.0, 892.0, 909.0]",10.0,horstify,"[624.0, 688.0, 699.0, 782.0]",4.0
securify,0x40ebf2d6e998a76a848c41908733b26e04adffe2,TimestampDepend,Safety,"[131.0, 189.0]",2.0,horstify,[131.0],1.0
securify,0x14ba17c52e4c2ccbb95de1d2bfff002398f515a7,TimestampDepend,Safety,"[171.0, 248.0, 298.0, 385.0, 500.0, 547.0]",6.0,horstify,"[385.0, 171.0]",2.0
securify,0xb9068705fbdc3b06c11763d2c260be682e6844ff,RestrictedWrite,Violation,"[234.0, 1925.0, 1396.0, 1349.0]",4.0,horstify,"[1396.0, 1925.0, 234.0]",3.0
securify,0xd3f3eb105daa3712eda7709f59ac0ec0d2d202b5,RestrictedWrite,Violation,"[234.0, 1933.0, 1396.0, 1349.0]",4.0,horstify,"[1396.0, 234.0, 1933.0]",3.0
securify,0x70E2475B7DA322D4a379e43cD7495C63C055192A,TimestampDepend,Safety,[654.0],1.0,horstify,[],0.0
securify,0x70E2475B7DA322D4a379e43cD7495C63C055192A,RestrictedWrite,Violation,"[228.0, 303.0, 311.0, 382.0, 436.0]",5.0,horstify,"[228.0, 311.0, 382.0, 303.0]",4.0
securify,0x5be9887d5b4336cb762a9d73335991a6ff8ce981,RestrictedWrite,Violation,"[199.0, 944.0, 2182.0, 2337.0, 2425.0, 2629.0, 2666.0]",7.0,horstify,"[400.0, 2337.0, 2629.0, 2182.0, 2425.0, 2666.0]",6.0
securify,0x55d035Ba1F4Ae932Cf98125b93D830d9858cd39F,TimestampDepend,Safety,"[340.0, 842.0, 947.0]",3.0,horstify,"[340.0, 842.0]",2.0
securify,0x55d035Ba1F4Ae932Cf98125b93D830d9858cd39F,RestrictedWrite,Violation,"[390.0, 446.0, 662.0, 780.0, 793.0, 958.0, 531.0, 629.0, 638.0, 768.0]",10.0,horstify,[390.0],1.0
securify,0x1F36f2249eC89266Ad4EE4351538148aaEBc72e8,RestrictedWrite,Violation,"[1305.0, 1491.0, 1499.0]",3.0,horstify,[1305.0],1.0
securify,0x46a4787091835af08b9b9b99dcdadfb0ca257e06,TimestampDepend,Safety,"[896.0, 1772.0, 1884.0, 2096.0, 2172.0, 1989.0, 2020.0]",7.0,horstify,"[2096.0, 896.0, 2020.0, 1989.0, 1772.0, 2172.0]",6.0
securify,0x66342e803943929dc47bca1d625f42c7c725b049,RestrictedWrite,Violation,"[763.0, 777.0, 783.0, 808.0, 1083.0, 1123.0, 1126.0, 1143.0, 1213.0, 1222.0, 1229.0, 1236.0, 1392.0, 1466.0, 1506.0, 623.0, 674.0, 709.0, 740.0]",19.0,horstify,"[674.0, 1506.0, 1123.0, 1126.0, 1222.0, 808.0, 777.0, 1229.0, 623.0, 783.0, 1392.0, 1236.0, 1143.0, 1466.0, 1083.0, 763.0, 1213.0]",17.0
securify,0xfd981838c1cc9b534b938c56b1c2123bdc700a32,TimestampDepend,Safety,"[1950.0, 2018.0, 229.0, 496.0]",4.0,horstify,"[496.0, 229.0, 1950.0]",3.0
securify,0x2dc0170450e66af2d3f5c56aa0b20ec4a254902e,TimestampDepend,Safety,"[3071.0, 3145.0, 391.0, 3326.0]",4.0,horstify,"[391.0, 3326.0, 3071.0]",3.0
securify,0xd1c37dffd4ef36867c5bd7e59566358ea3d21e63,TimestampDepend,Safety,"[171.0, 248.0, 298.0, 385.0, 500.0, 547.0]",6.0,horstify,"[385.0, 171.0]",2.0
securify,0x341e790174e3a4d35b65fdc067b6b5634a61caea,TimestampDepend,Safety,"[125.0, 171.0, 284.0, 331.0]",4.0,horstify,[],0.0
securify,0x5e84c1a6e8b7cd42041004de5cd911d537c5c007,RestrictedWrite,Violation,"[391.0, 576.0, 640.0, 651.0, 734.0, 771.0, 790.0, 826.0, 840.0, 857.0]",10.0,horstify,"[640.0, 576.0, 391.0, 651.0, 734.0]",5.0
securify,0xb08b08b9c4f91e68729ca471d77e0a525071db89,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
securify,0xcff9cb72d19c10df754ae7be6d280e379cdb2354,RestrictedWrite,Violation,"[549.0, 613.0, 624.0, 707.0, 744.0, 763.0, 799.0, 813.0, 830.0]",9.0,horstify,"[624.0, 707.0, 549.0, 613.0]",4.0
securify,0x16A4ff536001405f2B0d7ddAfC79f6A10D024640,TimestampDepend,Safety,[649.0],1.0,horstify,[],0.0
securify,0x16A4ff536001405f2B0d7ddAfC79f6A10D024640,RestrictedWrite,Violation,"[231.0, 306.0, 312.0, 383.0, 434.0]",5.0,horstify,"[306.0, 231.0, 312.0, 383.0]",4.0
securify,0xbFb0Cfd13dbB56c2dbf69EAe33255f0EF1fC7955,RestrictedWrite,Violation,"[3029.0, 3094.0, 3113.0]",3.0,horstify,"[3029.0, 3113.0]",2.0
securify,0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,TimestampDepend,Safety,"[282.0, 624.0, 732.0, 865.0, 998.0, 1128.0]",6.0,horstify,[282.0],1.0
securify,0x723dff0e27cc38b80556f5e05dfdbdcb721654d7,RestrictedWrite,Violation,"[1966.0, 2031.0, 1997.0, 393.0, 423.0, 436.0, 449.0, 462.0, 528.0]",9.0,horstify,"[1997.0, 1966.0, 2031.0]",3.0
securify,0x85169e1f0d8c2f27dd44f1cfbb81172dfeafe7c1,RestrictedWrite,Violation,"[275.0, 2670.0, 1766.0, 1668.0]",4.0,horstify,"[275.0, 1766.0, 2670.0]",3.0
securify,0xd41f3b51e0c2d825a1178582d27c84dbfe48d1af,TimestampDepend,Safety,"[1970.0, 2044.0, 226.0]",3.0,horstify,"[226.0, 1970.0]",2.0
securify,0x8a70cf25cf32e728be9e30c20b2781f60cb0ed6d,TimestampDepend,Safety,"[2786.0, 2860.0, 252.0, 577.0, 749.0]",5.0,horstify,"[577.0, 2786.0, 252.0, 749.0]",4.0
securify,0xc5B2508E878af367Ba4957BDBEb2bBc6DA5BB349,TimestampDepend,Safety,"[120.0, 164.0, 209.0, 243.0]",4.0,horstify,[120.0],1.0
securify,0x9c9dc2b707a99ae4b6795538ac6bf4f6d4842830,TimestampDepend,Safety,"[145.0, 526.0, 615.0, 704.0, 405.0]",5.0,horstify,"[145.0, 405.0]",2.0
